Año,Trimestre,Provincia,Accesos por cada 100 hogares
1970-01-01 00:00:00.000002020,2,Chaco,"39,83"
1970-01-01 00:00:00.000002020,2,Chubut,"57,34"
1970-01-01 00:00:00.000002020,2,Córdoba,"72,71"
1970-01-01 00:00:00.000002020,2,Corrientes,"40,3"
1970-01-01 00:00:00.000002020,2,Entre Ríos,"56,54"
1970-01-01 00:00:00.000002020,2,Formosa,"31,14"
1970-01-01 00:00:00.000002020,2,Jujuy,"47,89"
1970-01-01 00:00:00.000002020,2,La Pampa,"76,1"
1970-01-01 00:00:00.000002020,2,La Rioja,"49,84"
1970-01-01 00:00:00.000002020,2,Mendoza,"36,25"
1970-01-01 00:00:00.000002020,2,Misiones,"40,89"
1970-01-01 00:00:00.000002020,2,Neuquén,"63,9"
1970-01-01 00:00:00.000002020,2,Río Negro,"56,37"
1970-01-01 00:00:00.000002020,2,Salta,"51,58"
1970-01-01 00:00:00.000002020,2,San Juan,"35,09"
1970-01-01 00:00:00.000002020,2,San Luis,"78,41"
1970-01-01 00:00:00.000002020,2,Santa Cruz,"35,79"
1970-01-01 00:00:00.000002020,2,Santa Fe,70
1970-01-01 00:00:00.000002020,2,Santiago Del Estero,"43,47"
1970-01-01 00:00:00.000002020,2,Tierra Del Fuego,"76,37"
1970-01-01 00:00:00.000002020,2,Tucumán,"51,78"
1970-01-01 00:00:00.000002020,1,Buenos Aires,"64,33"
1970-01-01 00:00:00.000002020,1,Capital Federal,"105,98"
1970-01-01 00:00:00.000002020,1,Catamarca,"37,62"
1970-01-01 00:00:00.000002020,1,Chaco,"37,48"
1970-01-01 00:00:00.000002020,1,Chubut,"51,27"
1970-01-01 00:00:00.000002020,1,Córdoba,"70,69"
1970-01-01 00:00:00.000002020,1,Corrientes,"38,73"
1970-01-01 00:00:00.000002020,1,Entre Ríos,"56,12"
1970-01-01 00:00:00.000002020,1,Formosa,"30,23"
1970-01-01 00:00:00.000002020,1,Jujuy,"46,67"
1970-01-01 00:00:00.000002020,1,La Pampa,"75,77"
1970-01-01 00:00:00.000002020,1,La Rioja,"46,35"
1970-01-01 00:00:00.000002020,1,Mendoza,"33,14"
1970-01-01 00:00:00.000002020,1,Misiones,"39,02"
1970-01-01 00:00:00.000002020,1,Neuquén,"61,85"
1970-01-01 00:00:00.000002020,1,Río Negro,"55,12"
1970-01-01 00:00:00.000002020,1,Salta,"49,6"
1970-01-01 00:00:00.000002020,1,San Juan,"32,39"
1970-01-01 00:00:00.000002020,1,San Luis,"76,31"
1970-01-01 00:00:00.000002020,1,Santa Cruz,"35,97"
1970-01-01 00:00:00.000002020,1,Santa Fe,"69,52"
1970-01-01 00:00:00.000002020,1,Santiago Del Estero,"42,47"
1970-01-01 00:00:00.000002020,1,Tierra Del Fuego,"76,07"
1970-01-01 00:00:00.000002020,1,Tucumán,"47,85"
1970-01-01 00:00:00.000002019,4,Buenos Aires,"64,25"
1970-01-01 00:00:00.000002019,4,Capital Federal,"106,25"
1970-01-01 00:00:00.000002019,4,Catamarca,"36,44"
1970-01-01 00:00:00.000002019,4,Chaco,"36,84"
1970-01-01 00:00:00.000002019,4,Chubut,"51,15"
1970-01-01 00:00:00.000002019,4,Córdoba,"70,48"
1970-01-01 00:00:00.000002019,4,Corrientes,"38,77"
1970-01-01 00:00:00.000002019,4,Entre Ríos,"57,99"
1970-01-01 00:00:00.000002019,4,Formosa,"30,47"
1970-01-01 00:00:00.000002019,4,Jujuy,"45,38"
1970-01-01 00:00:00.000002019,4,La Pampa,"76,92"
1970-01-01 00:00:00.000002019,4,La Rioja,"47,14"
1970-01-01 00:00:00.000002019,4,Mendoza,"33,65"
1970-01-01 00:00:00.000002019,4,Misiones,"39,79"
1970-01-01 00:00:00.000002019,4,Neuquén,"59,36"
1970-01-01 00:00:00.000002019,4,Río Negro,"55,71"
1970-01-01 00:00:00.000002019,4,Salta,"50,35"
1970-01-01 00:00:00.000002019,4,San Juan,"32,85"
1970-01-01 00:00:00.000002019,4,San Luis,"74,92"
1970-01-01 00:00:00.000002019,4,Santa Cruz,"36,71"
1970-01-01 00:00:00.000002019,4,Santa Fe,"69,48"
1970-01-01 00:00:00.000002019,4,Santiago Del Estero,"42,92"
1970-01-01 00:00:00.000002019,4,Tierra Del Fuego,"79,7"
1970-01-01 00:00:00.000002019,4,Tucumán,"47,65"
1970-01-01 00:00:00.000002019,3,Buenos Aires,"69,36"
1970-01-01 00:00:00.000002019,3,Capital Federal,"112,65"
1970-01-01 00:00:00.000002019,3,Catamarca,"30,88"
1970-01-01 00:00:00.000002019,3,Chaco,"35,85"
1970-01-01 00:00:00.000002019,3,Chubut,"47,57"
1970-01-01 00:00:00.000002019,3,Córdoba,"68,59"
1970-01-01 00:00:00.000002019,3,Corrientes,"38,49"
1970-01-01 00:00:00.000002019,3,Entre Ríos,"57,9"
1970-01-01 00:00:00.000002019,3,Formosa,"30,11"
1970-01-01 00:00:00.000002019,3,Jujuy,"44,32"
1970-01-01 00:00:00.000002019,3,La Pampa,"77,45"
1970-01-01 00:00:00.000002019,3,La Rioja,"47,94"
1970-01-01 00:00:00.000002019,3,Mendoza,"40,74"
1970-01-01 00:00:00.000002019,3,Misiones,"39,33"
1970-01-01 00:00:00.000002019,3,Neuquén,"64,14"
1970-01-01 00:00:00.000002019,3,Río Negro,"63,42"
1970-01-01 00:00:00.000002019,3,Salta,"44,48"
1970-01-01 00:00:00.000002019,3,San Juan,"37,06"
1970-01-01 00:00:00.000002019,3,San Luis,"85,23"
1970-01-01 00:00:00.000002019,3,Santa Cruz,"35,63"
1970-01-01 00:00:00.000002019,3,Santa Fe,"68,87"
1970-01-01 00:00:00.000002019,3,Santiago Del Estero,"55,3"
